                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.39376,                0.38417,                0.93028,                0.91423,                0.86472,                0.95258,                0.85017,                0.57117,                0.57096,                 1.0968,              0.0049051,              0.0049051,              0.0049051
                     53,                0.39039,                0.37842,                0.92364,                0.89881,                0.84997,                 0.9591,                0.83386,                0.60019,                0.61984,                 1.1536,              0.0048052,              0.0048052,              0.0048052
                     54,                0.39748,                0.38825,                0.93862,                0.89186,                0.88738,                 0.9425,                0.82737,                0.55327,                0.60563,                 1.0905,              0.0047053,              0.0047053,              0.0047053
                     55,                0.38605,                0.36428,                0.91557,                0.93053,                0.87944,                0.95301,                0.83731,                0.55564,                0.62381,                 1.0843,              0.0046054,              0.0046054,              0.0046054
                     56,                0.38326,                0.36279,                0.91744,                0.93269,                 0.8286,                0.93805,                0.83045,                0.55156,                0.64188,                 1.0833,              0.0045055,              0.0045055,              0.0045055
                     57,                0.36495,                0.35285,                0.90633,                0.89803,                0.86536,                0.94719,                0.83121,                0.55833,                0.63636,                 1.0751,              0.0044056,              0.0044056,              0.0044056
                     58,                 0.3654,                0.35791,                0.90664,                0.87625,                0.86465,                0.94309,                0.82276,                0.56415,                0.58268,                 1.0724,              0.0043057,              0.0043057,              0.0043057
                     59,                0.35134,                0.33321,                0.89581,                0.91997,                0.79623,                0.92867,                0.82116,                0.56603,                0.59001,                 1.0758,              0.0042058,              0.0042058,              0.0042058
                     60,                0.35706,                0.33534,                0.89783,                0.91337,                0.84186,                0.93716,                0.83025,                0.56545,                0.59044,                 1.0957,              0.0041059,              0.0041059,              0.0041059
                     61,                0.35303,                 0.3296,                0.90614,                0.87574,                 0.8679,                0.93317,                0.82812,                0.58168,                0.61292,                 1.1283,               0.004006,               0.004006,               0.004006
                     62,                 0.3608,                0.33707,                0.90872,                0.82919,                0.91246,                0.94741,                0.84271,                0.55843,                0.60097,                 1.1057,              0.0039061,              0.0039061,              0.0039061
                     63,                0.35918,                 0.3386,                0.91255,                 0.8669,                0.89965,                0.94638,                0.83996,                0.55765,                0.60723,                  1.074,              0.0038062,              0.0038062,              0.0038062
                     64,                0.34611,                0.32785,                0.91507,                0.92472,                0.86674,                0.94308,                0.84306,                0.55392,                0.58067,                 1.0706,              0.0037063,              0.0037063,              0.0037063
                     65,                0.34835,                0.32666,                0.90973,                0.89645,                0.90919,                0.94841,                0.83036,                0.54966,                0.57382,                 1.0771,              0.0036064,              0.0036064,              0.0036064
                     66,                0.32883,                0.30821,                0.87571,                0.89485,                0.89081,                0.96148,                0.83638,                0.56125,                0.56316,                 1.0839,              0.0035065,              0.0035065,              0.0035065
                     67,                0.33251,                0.31186,                0.89393,                0.92252,                0.87484,                 0.9546,                0.84349,                0.53036,                0.53818,                 1.0615,              0.0034066,              0.0034066,              0.0034066
