                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 2.4229,                 3.9152,                 2.9426,                  4e-05,                0.01923,                0.00035,                  5e-05,                 3.3925,                 6.3777,                 4.4566,              0.0057043,              0.0057043,              0.0057043
                     45,                 2.3902,                 3.8998,                 2.9517,                  4e-05,                0.01923,                0.00035,                  5e-05,                 3.5149,                  7.634,                 4.4952,              0.0056044,              0.0056044,              0.0056044
                     46,                 2.4299,                 3.8801,                 2.9438,                  4e-05,                0.01923,                0.00035,                  5e-05,                 3.9623,                 7.0973,                 4.4162,              0.0055045,              0.0055045,              0.0055045
                     47,                 2.4096,                 3.8504,                  2.951,                0.00056,                0.01923,                0.00064,                0.00023,                  3.844,                 6.8461,                 4.3696,              0.0054046,              0.0054046,              0.0054046
                     48,                 2.4442,                 3.8636,                  2.966,                0.00056,                0.01923,                0.00064,                0.00023,                 3.5679,                 7.7704,                 6.6066,              0.0053047,              0.0053047,              0.0053047
                     49,                 2.4268,                 3.7607,                 2.9576,                0.00056,                0.01923,                0.00064,                0.00023,                 3.6894,                 7.7759,                 8.0613,              0.0052048,              0.0052048,              0.0052048
                     50,                 2.3881,                 3.6662,                 2.9639,                0.00056,                0.01923,                0.00064,                0.00023,                 3.2407,                    inf,                 4.8403,              0.0051049,              0.0051049,              0.0051049
                     51,                 2.3715,                 3.6884,                 2.9247,                0.00056,                0.01923,                0.00064,                0.00023,                 3.4554,                 7.5419,                 4.4921,               0.005005,               0.005005,               0.005005
                     52,                 2.3616,                 3.6326,                 2.9157,                 0.0002,                0.01923,                0.00014,                  2e-05,                 3.1038,                 20.014,                 4.1473,              0.0049051,              0.0049051,              0.0049051
                     53,                 2.3623,                   3.54,                 2.9019,                 0.0002,                0.01923,                0.00014,                  2e-05,                 3.3482,                 5.7217,                 4.7818,              0.0048052,              0.0048052,              0.0048052
                     54,                  2.359,                 3.5547,                 2.9134,                 0.0002,                0.01923,                0.00014,                  2e-05,                 3.6395,                  5.501,                 5.5664,              0.0047053,              0.0047053,              0.0047053
                     55,                 2.3548,                 3.5099,                  2.918,                  3e-05,                0.01923,                  7e-05,                  1e-05,                 3.6576,                    inf,                  4.455,              0.0046054,              0.0046054,              0.0046054
                     56,                 2.3912,                 3.5032,                 2.9049,                0.07763,                0.04808,                0.00145,                0.00061,                 3.4344,                 73.075,                 4.8372,              0.0045055,              0.0045055,              0.0045055
                     57,                 2.3453,                 3.4689,                 2.9034,                 0.3142,                0.01923,                0.00454,                0.00122,                 3.4833,                  26.82,                 4.4408,              0.0044056,              0.0044056,              0.0044056
                     58,                 2.3893,                 3.4994,                  2.909,                 0.3142,                0.01923,                0.00454,                0.00122,                 3.4293,                 6.9215,                 4.2598,              0.0043057,              0.0043057,              0.0043057
                     59,                 2.3078,                  3.424,                 2.8687,                 0.3142,                0.01923,                0.00454,                0.00122,                 3.9697,                 6.8609,                 14.266,              0.0042058,              0.0042058,              0.0042058
                     60,                 2.3803,                 3.4533,                 2.9331,                0.00406,                0.05769,                0.00456,                0.00089,                 3.4708,                 6.2154,                  5.041,              0.0041059,              0.0041059,              0.0041059
                     61,                 2.2931,                 3.4761,                 2.8454,                0.00249,                0.01923,                 0.0067,                0.00084,                  3.379,                 5.8408,                 5.0845,               0.004006,               0.004006,               0.004006
                     62,                 2.3315,                 3.4194,                 2.8931,                0.00249,                0.01923,                 0.0067,                0.00084,                 3.1875,                 6.8495,                 3.9291,              0.0039061,              0.0039061,              0.0039061
                     63,                 2.3034,                 3.4425,                 2.8789,                0.00249,                0.01923,                 0.0067,                0.00084,                 3.4304,                 6.8059,                 4.2002,              0.0038062,              0.0038062,              0.0038062
                     64,                 2.2944,                 3.4535,                 2.8491,                0.00032,                0.01442,                 0.0004,                  7e-05,                 3.9296,                 7.5728,                 4.6089,              0.0037063,              0.0037063,              0.0037063
                     65,                 2.2367,                 3.4267,                 2.8165,                0.00011,                0.05769,                0.00024,                  4e-05,                  3.346,                 8.7708,                 4.3428,              0.0036064,              0.0036064,              0.0036064
                     66,                 2.2295,                 3.4833,                 2.7917,                0.00011,                0.05769,                0.00024,                  4e-05,                 3.2631,                 16.705,                 4.4767,              0.0035065,              0.0035065,              0.0035065
                     67,                 2.1934,                 3.3992,                 2.7859,                 0.0062,                0.04808,                0.00952,                 0.0023,                 3.1532,                 5.3012,                 4.3722,              0.0034066,              0.0034066,              0.0034066
                     68,                 2.1694,                 3.3938,                 2.7611,                 0.0062,                0.04808,                0.00952,                 0.0023,                 3.1066,                 5.5585,                 4.1039,              0.0033067,              0.0033067,              0.0033067
                     69,                  2.153,                 3.3794,                 2.7481,                 0.0062,                0.04808,                0.00952,                 0.0023,                 3.8571,                 5.8422,                 6.0969,              0.0032068,              0.0032068,              0.0032068
                     70,                 2.1689,                  3.387,                 2.7462,                 0.0062,                0.04808,                0.00952,                 0.0023,                 4.0756,                 5.6406,                 6.2913,              0.0031069,              0.0031069,              0.0031069
                     71,                 2.1263,                 3.3682,                 2.7187,                0.00037,                0.00962,                0.00035,                  7e-05,                 3.5677,                 5.8326,                 4.5337,               0.003007,               0.003007,               0.003007
                     72,                 2.0531,                 3.3666,                 2.6947,                0.00037,                0.00962,                0.00035,                  7e-05,                 3.3887,                 5.3899,                 4.3812,              0.0029071,              0.0029071,              0.0029071
                     73,                 2.0633,                 3.3286,                 2.6807,                0.00029,                0.00962,                0.00049,                 0.0001,                 3.6433,                 5.0769,                  8.952,              0.0028072,              0.0028072,              0.0028072
                     74,                   2.13,                 3.3336,                 2.7325,                0.00585,                0.03846,                0.00785,                0.00316,                  3.838,                 5.0339,                 6.4615,              0.0027073,              0.0027073,              0.0027073
                     75,                 2.0538,                 3.3521,                 2.6892,                0.00585,                0.03846,                0.00785,                0.00316,                 3.7022,                  5.809,                 4.5904,              0.0026074,              0.0026074,              0.0026074
                     76,                 2.0297,                 3.3269,                 2.6893,                 0.0033,                0.01923,                0.00495,                0.00086,                 3.2827,                 6.0575,                 4.6834,              0.0025075,              0.0025075,              0.0025075
