                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.32047,                0.26956,                0.87299,                0.92981,                0.86569,                0.96717,                0.87466,                0.49814,                0.48581,                  1.032,              0.0035001,              0.0035001,              0.0035001
                     67,                 0.3124,                0.26941,                0.88906,                0.90377,                 0.8794,                0.95073,                0.86075,                0.51607,                0.51268,                 1.0298,              0.0034001,              0.0034001,              0.0034001
                     68,                0.31786,                0.28347,                0.89011,                0.88995,                0.88992,                0.94211,                0.85254,                0.50547,                0.47318,                 1.0361,              0.0033001,              0.0033001,              0.0033001
                     69,                0.29917,                0.26146,                0.87233,                0.92536,                0.87922,                0.94888,                0.86513,                0.51631,                0.48572,                 1.0609,              0.0032001,              0.0032001,              0.0032001
                     70,                0.30485,                0.26505,                0.88124,                0.89343,                0.88432,                0.95201,                0.86662,                0.51181,                0.48394,                 1.0595,              0.0031001,              0.0031001,              0.0031001
                     71,                0.30237,                0.26289,                0.87902,                0.89096,                 0.8947,                0.94974,                0.86625,                0.50145,                0.50197,                 1.0503,              0.0030001,              0.0030001,              0.0030001
                     72,                0.29804,                0.26146,                0.86951,                0.90701,                0.89061,                 0.9638,                  0.878,                0.48558,                 0.4984,                 1.0433,              0.0029001,              0.0029001,              0.0029001
                     73,                0.30489,                0.26005,                0.87178,                0.91617,                0.86438,                0.95782,                0.87265,                0.48537,                0.49674,                 1.0386,              0.0028001,              0.0028001,              0.0028001
                     74,                0.29469,                0.25461,                0.87359,                0.93407,                0.87936,                0.95338,                0.86322,                0.49708,                0.46771,                 1.0452,              0.0027001,              0.0027001,              0.0027001
                     75,                 0.2947,                0.25542,                   0.88,                0.93402,                0.87297,                0.94653,                0.85983,                0.51725,                 0.5146,                 1.0793,              0.0026001,              0.0026001,              0.0026001
                     76,                0.29615,                0.24692,                0.86923,                0.94185,                0.85203,                0.94461,                0.86026,                0.51078,                0.52638,                 1.0551,              0.0025001,              0.0025001,              0.0025001
                     77,                0.28133,                0.24771,                0.85431,                0.92541,                0.89801,                0.94874,                0.87119,                0.46967,                0.48556,                 1.0263,              0.0024001,              0.0024001,              0.0024001
                     78,                0.28776,                0.24591,                0.85467,                0.92499,                0.87318,                0.94426,                0.85972,                0.48554,                0.47329,                  1.047,              0.0023001,              0.0023001,              0.0023001
                     79,                0.26712,                0.23699,                0.85343,                0.95762,                0.88642,                0.95087,                0.87624,                 0.4857,                0.45988,                 1.0431,              0.0022001,              0.0022001,              0.0022001
                     80,                0.28468,                0.24733,                0.86816,                0.92865,                0.87867,                0.95224,                 0.8666,                0.49832,                0.46036,                 1.0499,              0.0021001,              0.0021001,              0.0021001
                     81,                0.27278,                0.24452,                0.85948,                0.92581,                0.88513,                0.95423,                0.85866,                0.47829,                 0.4535,                 1.0268,              0.0020001,              0.0020001,              0.0020001
                     82,                0.27142,                0.23917,                0.86668,                0.91599,                0.87184,                0.96022,                 0.8736,                 0.4687,                0.44336,                 1.0263,              0.0019001,              0.0019001,              0.0019001
                     83,                0.26349,                0.22791,                0.85659,                0.90763,                0.90462,                0.96363,                0.88589,                0.46277,                0.45001,                 1.0258,              0.0018001,              0.0018001,              0.0018001
                     84,                0.25709,                0.23857,                 0.8482,                  0.935,                 0.8826,                0.95617,                0.87828,                0.46941,                0.46573,                 1.0321,              0.0017001,              0.0017001,              0.0017001
                     85,                0.26672,                0.23513,                 0.8596,                 0.9397,                0.88374,                0.94943,                0.86745,                0.47518,                0.46458,                 1.0429,              0.0016001,              0.0016001,              0.0016001
                     86,                0.25745,                0.22531,                 0.8412,                0.89758,                0.91483,                0.95177,                0.87077,                0.48255,                 0.4458,                 1.0483,              0.0015001,              0.0015001,              0.0015001
                     87,                0.26154,                0.22622,                0.84271,                 0.9361,                0.88758,                0.95498,                0.87573,                0.47516,                0.44117,                 1.0436,              0.0014001,              0.0014001,              0.0014001
                     88,                0.25218,                0.21903,                0.84561,                0.93426,                0.87703,                0.95992,                0.88061,                0.47915,                0.43458,                 1.0518,              0.0013001,              0.0013001,              0.0013001
                     89,                0.24822,                0.22356,                0.84051,                0.93944,                0.88475,                 0.9626,                0.88327,                0.48821,                0.43568,                 1.0529,              0.0012001,              0.0012001,              0.0012001
                     90,                0.23934,                0.21601,                0.84197,                 0.9405,                0.88856,                 0.9593,                0.87465,                0.46228,                0.44618,                  1.016,              0.0011001,              0.0011001,              0.0011001
                     91,                0.24372,                0.21401,                0.84714,                0.91529,                0.90067,                0.95795,                0.87988,                0.45908,                0.44255,                 1.0073,              0.0010001,              0.0010001,              0.0010001
                     92,                0.25054,                0.21642,                0.83693,                0.92408,                0.90466,                0.95827,                0.87723,                0.46588,                0.43677,                 1.0281,             0.00090009,             0.00090009,             0.00090009
