                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.82168,                  1.452,                 1.2139,                0.61238,                0.71397,                 0.7839,                0.65986,                 0.7749,                 1.2067,                 1.3027,              0.0048052,              0.0048052,              0.0048052
                     54,                0.82377,                 1.4178,                 1.1943,                0.72313,                0.72285,                0.81544,                 0.6552,                0.81912,                 1.2407,                 1.3422,              0.0047053,              0.0047053,              0.0047053
                     55,                0.84348,                 1.4323,                  1.207,                0.63528,                0.68352,                0.78196,                0.63199,                0.84992,                 1.1877,                 1.3483,              0.0046054,              0.0046054,              0.0046054
                     56,                 0.8293,                  1.459,                  1.199,                 0.7562,                0.68868,                 0.7963,                0.64596,                0.80844,                 1.2543,                 1.3257,              0.0045055,              0.0045055,              0.0045055
                     57,                0.81286,                 1.3548,                 1.1822,                0.70484,                0.65058,                0.77509,                 0.6353,                0.86783,                 1.3965,                  1.382,              0.0044056,              0.0044056,              0.0044056
                     58,                0.81831,                 1.3905,                 1.1948,                0.65324,                0.68786,                0.77164,                0.64474,                0.78632,                 1.2183,                  1.316,              0.0043057,              0.0043057,              0.0043057
                     59,                0.80311,                 1.3374,                 1.1767,                0.59389,                0.75941,                0.77921,                0.66204,                0.75338,                 1.1822,                 1.2706,              0.0042058,              0.0042058,              0.0042058
                     60,                  0.812,                 1.3353,                 1.1879,                0.66298,                0.67635,                0.80784,                0.67488,                0.79262,                 1.2655,                  1.307,              0.0041059,              0.0041059,              0.0041059
                     61,                0.78375,                 1.3305,                 1.1734,                0.67031,                 0.8029,                0.84502,                0.68227,                0.83923,                 1.0511,                 1.3427,               0.004006,               0.004006,               0.004006
                     62,                0.83002,                 1.3508,                 1.2008,                0.67469,                0.64038,                0.70411,                0.58125,                0.79754,                 1.4863,                 1.3138,              0.0039061,              0.0039061,              0.0039061
                     63,                0.79026,                 1.3459,                 1.1581,                0.63649,                0.74965,                0.78369,                0.64124,                0.78804,                 1.0638,                 1.3142,              0.0038062,              0.0038062,              0.0038062
                     64,                0.79178,                 1.3482,                 1.1838,                0.77201,                0.70359,                0.80982,                0.66236,                0.76757,                 1.1108,                 1.2984,              0.0037063,              0.0037063,              0.0037063
                     65,                0.77827,                 1.2868,                   1.17,                0.79991,                0.72999,                0.83977,                0.67806,                0.87526,                  1.119,                 1.3377,              0.0036064,              0.0036064,              0.0036064
                     66,                0.79971,                 1.2894,                 1.1907,                0.69578,                0.76472,                0.83352,                0.67258,                 0.8168,                 1.0975,                 1.3054,              0.0035065,              0.0035065,              0.0035065
                     67,                0.82532,                 1.3051,                 1.1861,                0.62912,                0.82192,                0.82721,                0.69275,                0.80067,                 1.1567,                  1.323,              0.0034066,              0.0034066,              0.0034066
                     68,                 0.8043,                 1.2668,                 1.1777,                 0.7999,                0.77086,                0.84486,                0.69659,                0.75523,                 1.0049,                 1.2836,              0.0033067,              0.0033067,              0.0033067
                     69,                0.82114,                 1.3108,                  1.195,                 0.8084,                0.68936,                0.85574,                0.71179,                0.79009,                 1.0719,                 1.3034,              0.0032068,              0.0032068,              0.0032068
                     70,                0.77211,                 1.2065,                 1.1588,                0.73977,                0.80057,                0.86167,                0.71091,                0.73223,                 1.0066,                 1.2453,              0.0031069,              0.0031069,              0.0031069
                     71,                0.75802,                 1.2139,                  1.146,                0.73531,                 0.8473,                0.88785,                0.72728,                0.75696,                0.99316,                 1.2742,               0.003007,               0.003007,               0.003007
                     72,                0.72955,                 1.2324,                 1.1331,                0.80708,                0.74669,                0.85556,                0.71514,                0.75284,                 0.9565,                 1.3167,              0.0029071,              0.0029071,              0.0029071
                     73,                0.73912,                  1.212,                  1.157,                0.69818,                0.72779,                0.81915,                0.66424,                0.79629,                 1.1551,                 1.3275,              0.0028072,              0.0028072,              0.0028072
                     74,                0.75642,                 1.1976,                 1.1553,                0.83008,                0.78417,                0.87983,                0.73188,                0.74129,                0.97161,                 1.2618,              0.0027073,              0.0027073,              0.0027073
                     75,                0.74747,                 1.2059,                 1.1551,                0.84115,                0.79662,                0.91554,                0.75439,                0.74346,                0.91856,                 1.2694,              0.0026074,              0.0026074,              0.0026074
                     76,                0.75395,                 1.2155,                 1.1553,                0.80999,                0.77276,                0.85555,                0.71695,                0.76931,                0.98497,                  1.287,              0.0025075,              0.0025075,              0.0025075
                     77,                  0.741,                 1.1938,                  1.154,                0.77618,                 0.7656,                0.85387,                0.71769,                0.71609,                0.94537,                 1.2608,              0.0024076,              0.0024076,              0.0024076
                     78,                 0.7259,                 1.2018,                 1.1503,                0.70347,                0.77997,                0.85126,                0.71243,                0.73372,                 1.0356,                 1.2494,              0.0023077,              0.0023077,              0.0023077
                     79,                0.70605,                 1.1577,                 1.1375,                0.76166,                0.77649,                0.88108,                0.74677,                0.67871,                 1.0074,                 1.1879,              0.0022078,              0.0022078,              0.0022078
                     80,                0.68253,                 1.1406,                 1.1196,                0.80232,                0.76146,                0.87166,                0.74253,                0.67838,                  1.005,                 1.2163,              0.0021079,              0.0021079,              0.0021079
                     81,                0.66609,                 1.0678,                 1.1068,                0.76639,                0.82083,                0.88178,                0.75327,                 0.7106,                0.92785,                 1.2234,               0.002008,               0.002008,               0.002008
                     82,                0.68175,                 1.0559,                 1.1143,                0.77476,                0.76916,                0.88571,                0.74277,                 0.7384,                0.93799,                 1.2543,              0.0019081,              0.0019081,              0.0019081
                     83,                0.68907,                 1.0783,                 1.1254,                0.83224,                0.82671,                0.91979,                 0.7734,                0.67359,                0.88629,                 1.2196,              0.0018082,              0.0018082,              0.0018082
                     84,                0.68778,                 1.0491,                 1.1173,                0.75161,                0.82649,                0.88687,                0.75588,                0.65217,                 0.9031,                 1.1851,              0.0017083,              0.0017083,              0.0017083
                     85,                0.68771,                 1.0929,                 1.1279,                0.87605,                0.81101,                0.91036,                0.77993,                0.64896,                0.85912,                 1.1808,              0.0016084,              0.0016084,              0.0016084
                     86,                0.62833,                0.99565,                 1.0782,                0.88709,                 0.8212,                 0.9108,                0.77132,                0.68657,                0.84379,                 1.2101,              0.0015085,              0.0015085,              0.0015085
                     87,                 0.6523,                  1.028,                  1.096,                0.78545,                0.81839,                0.88428,                0.76303,                0.64052,                0.84438,                 1.1706,              0.0014086,              0.0014086,              0.0014086
                     88,                0.64392,                 1.0028,                 1.1046,                0.83951,                0.80063,                0.90458,                0.78208,                0.64343,                0.80097,                 1.1752,              0.0013087,              0.0013087,              0.0013087
                     89,                0.65443,                0.97664,                 1.1015,                0.84948,                0.83164,                0.91799,                0.78965,                0.64225,                0.73971,                 1.1884,              0.0012088,              0.0012088,              0.0012088
                     90,                0.52287,                 0.6049,                 1.0882,                0.82938,                0.86029,                0.93248,                0.79615,                 0.6376,                0.77106,                  1.156,              0.0011089,              0.0011089,              0.0011089
                     91,                 0.4971,                 0.5493,                 1.0449,                0.84159,                0.81792,                0.91634,                0.78447,                0.63442,                0.80436,                 1.1643,               0.001009,               0.001009,               0.001009
                     92,                0.48922,                0.54104,                 1.0575,                0.85834,                0.85275,                0.92459,                0.80493,                0.60606,                0.74824,                 1.1529,              0.0009091,              0.0009091,              0.0009091
                     93,                 0.4776,                0.50083,                 1.0398,                0.90385,                0.80609,                0.93092,                0.81964,                 0.5935,                0.73109,                 1.1389,              0.0008092,              0.0008092,              0.0008092
                     94,                0.47776,                0.50557,                 1.0165,                0.81878,                0.87541,                 0.9393,                0.82016,                0.62448,                0.71115,                 1.1829,              0.0007093,              0.0007093,              0.0007093
                     95,                0.45264,                0.47057,                 1.0248,                0.90255,                0.83478,                0.93499,                0.82107,                0.60103,                0.72101,                 1.1388,              0.0006094,              0.0006094,              0.0006094
                     96,                0.44693,                0.46463,                  1.001,                0.81923,                0.90291,                 0.9416,                0.82972,                0.58461,                0.70705,                 1.1255,              0.0005095,              0.0005095,              0.0005095
                     97,                0.44179,                0.45347,                 1.0113,                0.85686,                0.89059,                0.95657,                 0.8412,                0.57807,                0.69772,                 1.1088,              0.0004096,              0.0004096,              0.0004096
                     98,                0.43996,                 0.4528,                 1.0152,                0.89732,                0.85372,                0.94608,                0.84247,                0.57744,                 0.6919,                 1.1102,              0.0003097,              0.0003097,              0.0003097
                     99,                0.42767,                0.43671,                  1.008,                0.93534,                0.84779,                0.95255,                0.84553,                0.57235,                0.66404,                 1.1066,              0.0002098,              0.0002098,              0.0002098
